Table archaeological_layer_age
archlayer_idlocality;archlayer_name;laboratory_idlaboratory;analysis_number;age;positive_standard_deviation;negative_standard_deviation;dating_method;material_dated;date_of_analysis;comments;owner;created;mod_history
Abri I am Schulerloch;AH m;H;H-AS;51400;4500;4500;TL (thermoluminescence) dating;lithic burnt;1998;after Böhner 2008, tab. 31; Institute for archaeometry, Heidelberg; Sample AS, Inv.-Nr. 83H6-S2;Julia Lutz;01.10.2020;Julia Lutz  01.10.20;
Abri Pié Lombard;Middle Paleolithic;Gif;;73800;9600;9600;TL (thermoluminescence) dating;lithic burnt;1985;dating from mid 1980s. sample no.: PL 3 from subunit e.;Klaus Herkert;16.03.2021;Klaus Herkert  16.03.21;
Abri Pié Lombard;Middle Paleolithic;Gif;;67000;8100;8100;TL (thermoluminescence) dating;lithic burnt;1985;dating from mid 1980s. sample no.: PL 4 from subunit e.;Klaus Herkert;16.03.2021;Klaus Herkert  16.03.21;
Arcy-sur-Cure - Grotte du Renne;Layer VIII;EVA;EVA-55;36630;452;452;14C (radiocarbon) dating;bone;2012;modified bone;andrew;04.12.2019;Klaus Herkert  04.12.19; andrew  13.03.20;
Arcy-sur-Cure - Grotte du Renne;Layer X;OxA;OxA-21592;36200;1100;1100;14C (radiocarbon) dating;bone;2010;bone awl. sample from sublayer Xb2.;andrew;04.12.2019;Klaus Herkert  04.12.19; andrew  12.03.20;
Arcy-sur-Cure - Grotte du Renne;Layer X;OxA;OxA-21576;40800;1700;1700;14C (radiocarbon) dating;bone;2010;bone with cut marks. sample from sublayer Xa.;andrew;04.12.2019;Klaus Herkert  04.12.19; andrew  12.03.20;
Arcy-sur-Cure - Grotte du Renne;Layer X;EVA;EVA-41;38730;333;333;14C (radiocarbon) dating;bone;2012;modified bone. sample from sublayer Xa.;andrew;04.12.2019;Klaus Herkert  04.12.19; andrew  13.03.20;
Arcy-sur-Cure - Grotte du Renne;Layer X;OxA;OxA-21565;37900;900;900;14C (radiocarbon) dating;bone;2010;bone with cut marks. sample from sublayer Xa.;andrew;04.12.2019;Klaus Herkert  04.12.19; andrew  12.03.20;
Arcy-sur-Cure - Grotte du Renne;Layer X;OxA;OxA-21591;34750;750;750;14C (radiocarbon) dating;bone;2010;bone with cut marks. sample from sublayer Xb1/c.;andrew;04.12.2019;Klaus Herkert  04.12.19; andrew  12.03.20;
Arcy-sur-Cure - Grotte du Renne;Layer X;EVA;EVA-42;38070;311;311;14C (radiocarbon) dating;bone;2012;modified bone. sample from sublayer Xa.;andrew;04.12.2019;Klaus Herkert  04.12.19; andrew  13.03.20;
Arcy-sur-Cure - Grotte du Renne;Layer X;EVA;EVA-30;37980;284;284;14C (radiocarbon) dating;bone;2012;modified bone. sample from sublayer Xb2.;andrew;04.12.2019;Klaus Herkert  04.12.19; andrew  13.03.20;
Arcy-sur-Cure - Grotte du Renne;Layer X;EVA;EVA-29;35500;216;216;14C (radiocarbon) dating;bone;2012;modified bone. sample from sublayer Xb2.;andrew;04.12.2019;Klaus Herkert  04.12.19; andrew  13.03.20;
Arcy-sur-Cure - Grotte du Renne;Layer X;EVA;EVA-26;39390;334;334;14C (radiocarbon) dating;bone;2012;modified bone. sample from sublayer Xb1.;andrew;04.12.2019;Klaus Herkert  04.12.19; andrew  13.03.20;
Arcy-sur-Cure - Grotte du Renne;Layer X;OxA;OxA-X-2226-13;39000;1400;1400;14C (radiocarbon) dating;bone;2010;bone with cut marks. sample from sublayer Xc.;andrew;04.12.2019;Klaus Herkert  04.12.19; andrew  13.03.20;
