assemblage.name;assemblage.category;country_continent.continent;geological_stratigraphy.correlation;geological_stratigraphy.age_min;geological_stratigraphy.age_max;locality.idlocality;locality.x;locality.y
Adrar Bous Lower Mottled Sand S133/S144 Archaeological Assemblage;raw material, technology, typology;Africa;archaeological (cultural) stratigraphy;200000;800000;Adrar Bous;8.95;20.3;
Adrar Bous Lower Mottled Sand S161 Archaeological Assemblage;raw material, technology, typology;Africa;archaeological (cultural) stratigraphy;200000;800000;Adrar Bous;8.95;20.3;
Adrar Bous Lower Mottled Sand S162 Archaeological Assemblage;raw material, technology, typology;Africa;archaeological (cultural) stratigraphy;200000;800000;Adrar Bous;8.95;20.3;
Adrar Bous Lower Mottled Sand S57 Archaeological Assemblage;raw material, technology, typology;Africa;archaeological (cultural) stratigraphy;200000;800000;Adrar Bous;8.95;20.3;
Adrar Bous Lower Mottled Sand S63 Archaeological Assemblage;raw material, technology, typology;Africa;archaeological (cultural) stratigraphy;200000;800000;Adrar Bous;8.95;20.3;
AG II human remains 1;human remains;Asia;archaeological (cultural) stratigraphy, geology;13000;15000;Afontova Gora II;92.82278;56.01083;
AG II human remains 2;human remains;Asia;archaeological (cultural) stratigraphy, geology;13000;15000;Afontova Gora II;92.82278;56.01083;
AG II human remains 3;human remains;Asia;14C (radiocarbon) dating, archaeological (cultural) stratigraphy, geology;13160;14425;Afontova Gora II;92.82278;56.01083;
AG II human remains 4;human remains;Asia;14C (radiocarbon) dating, archaeological (cultural) stratigraphy, geology;13160;14425;Afontova Gora II;92.82278;56.01083;
B1-B2 horizon archaeological assemblage;;Asia;archaeological (cultural) stratigraphy, geology;0;13450;Afontova Gora II;92.82278;56.01083;
C1-C2 horizon archaeological assemblage;;Asia;archaeological (cultural) stratigraphy, geology;13000;15000;Afontova Gora II;92.82278;56.01083;
C3 horizon archaeological assemblage;organic tools, raw material, symbolic artifacts, technology, typology;Asia;archaeological (cultural) stratigraphy, geology;13000;15000;Afontova Gora II;92.82278;56.01083;
Aggsbach_Fundstelle A assemblage;feature, miscellaneous finds, raw material, technology, typology;Europe;archaeological (cultural) stratigraphy;25000;35000;Aggsbach_Fundstelle A;15.400185;48.29323;
Aggsbach_Fundstelle B assemblage AH I;organic tools, raw material, technology, typology;Europe;archaeological (cultural) stratigraphy;25000;35000;Aggsbach_Fundstelle B;15.400185;48.29323;
Aggsbach_Fundstelle B assemblage AH II;feature, human remains, miscellaneous finds, organic tools, raw material, symbolic artifacts, technology, typology;Europe;archaeological (cultural) stratigraphy;25000;35000;Aggsbach_Fundstelle B;15.400185;48.29323;
Agh-1/a;plant remains;Asia;magnetostratigraphy;781000;1800000;Aghitu-1;46.080093;39.523528;
Agh-2/a-1;plant remains;Asia;magnetostratigraphy;781000;1800000;Aghitu-2;46.068284;39.513793;
Agh-2/a-2;plant remains;Asia;magnetostratigraphy;781000;1800000;Aghitu-2;46.068284;39.513793;
Agh-2/b;plant remains;Asia;magnetostratigraphy;781000;1800000;Aghitu-2;46.068284;39.513793;
AH III assemblage;feature, miscellaneous finds, organic tools, raw material, symbolic artifacts, technology, typology;Asia;14C (radiocarbon) dating;20000;25000;Aghitu-3 Cave;46.082183;39.513732;
AH IV assemblage;raw material, technology, typology;Asia;geology;25000;25700;Aghitu-3 Cave;46.082183;39.513732;
AH V assemblage;raw material, technology, typology;Asia;14C (radiocarbon) dating;25700;27000;Aghitu-3 Cave;46.082183;39.513732;
AH VI assemblage;feature, raw material, technology, typology;Asia;14C (radiocarbon) dating;27500;32000;Aghitu-3 Cave;46.082183;39.513732;
AH VII assemblage;raw material, technology, typology;Asia;14C (radiocarbon) dating;30000;34500;Aghitu-3 Cave;46.082183;39.513732;
Aghitu-3 Cave Fauna Layer AH III;animal remains, paleofauna;Asia;14C (radiocarbon) dating;20000;25000;Aghitu-3 Cave;46.082183;39.513732;
Aghitu-3 Cave Fauna Layer AH IV;animal remains, paleofauna;Asia;geology;25000;25700;Aghitu-3 Cave;46.082183;39.513732;
Aghitu-3 Cave Fauna Layer AH V;animal remains, paleofauna;Asia;14C (radiocarbon) dating;25700;27000;Aghitu-3 Cave;46.082183;39.513732;
Aghitu-3 Cave Fauna Layer AH V;animal remains, paleofauna;Asia;geology;27000;27500;Aghitu-3 Cave;46.082183;39.513732;
Aghitu-3 Cave Fauna Layer AH VI;animal remains, paleofauna;Asia;14C (radiocarbon) dating;27500;32000;Aghitu-3 Cave;46.082183;39.513732;
Aghitu-3 Cave Fauna Layer AH VII;animal remains, paleofauna;Asia;14C (radiocarbon) dating;30000;34500;Aghitu-3 Cave;46.082183;39.513732;
Aterian inventar;raw material, technology, typology;Africa;archaeological (cultural) stratigraphy;14000;150000;Ain Aghbal;-1.8731;34.7181;
Ain Boucherit AB-Lw Archaeolgocial Assemblage;raw material, technology, typology;Africa;ESR (electron spin resonance) dating, large mammal biostratigraphy, magnetostratigraphy;1950000;2580000;Ain Boucherit;5.6529;36.2045;
Ain Boucherit AB-Up Archaeological Assemblage;raw material, technology, typology;Africa;large mammal biostratigraphy, magnetostratigraphy;1780000;1950000;Ain Boucherit;5.6529;36.2045;
Ain Boucherit Member P Faunal Remains;paleofauna;Africa;ESR (electron spin resonance) dating, large mammal biostratigraphy, magnetostratigraphy;1950000;2580000;Ain Boucherit;5.6529;36.2045;
Ain Brimba Fauna;paleofauna;Africa;biostratigraphy;1000000;3500000;Ain Brimba;8.5825;33.427;
AH 0 assemblage;raw material, technology, typology;Asia;archaeological (cultural) stratigraphy;14000;17000;Ain Dabbour;36.6403;33.9918;
AH I assemblage;raw material, technology, typology;Asia;archaeological (cultural) stratigraphy;14000;17000;Ain Dabbour;36.6403;33.9918;
AH II assemblage;raw material, symbolic artifacts, technology, typology;Asia;archaeological (cultural) stratigraphy;14000;17000;Ain Dabbour;36.6403;33.9918;
AH IIa assemblage;raw material, technology, typology;Asia;archaeological (cultural) stratigraphy;14000;17000;Ain Dabbour;36.6403;33.9918;
AH Ia assemblage;raw material, technology, typology;Asia;archaeological (cultural) stratigraphy;14000;17000;Ain Dabbour;36.6403;33.9918;
Ain Difla Higher Terrace Test A Artefacts;feature, raw material, technology, typology;Asia;ESR (electron spin resonance) dating, TL (thermoluminescence) dating;90000;184500;Ain Difla;35.811252;30.902628;
Ain Difla Higher Terrace Test A Artefacts;feature, raw material, technology, typology;Asia;archaeological (cultural) stratigraphy, stratigraphy;47000;184500;Ain Difla;35.811252;30.902628;
Ain Difla Higher Terrace Test A Artefacts;feature, raw material, technology, typology;Asia;archaeological (cultural) stratigraphy, stratigraphy;90000;350000;Ain Difla;35.811252;30.902628;
Ain El Guettar Test Pits S1/S2 Archaeological Assemblage;function, raw material, technology, typology;Africa;archaeological (cultural) stratigraphy, stratigraphy;40000;150000;Ain El Guettar;9.5825;34.6597;
Ain El Guettar Unit 16+17 Archaeological Assemblage;miscellaneous finds, raw material, technology, typology;Africa;archaeological (cultural) stratigraphy;40000;150000;Ain El Guettar;9.5825;34.6597;
Ain El Guettar Unit 4 Archaeologial Surface Collection;raw material, technology, typology;Africa;archaeological (cultural) stratigraphy, stratigraphy;40000;150000;Ain El Guettar;9.5825;34.6597;
Ain El Guettar Unit 4 Archaeological Assemblage;raw material, technology, typology;Africa;archaeological (cultural) stratigraphy, stratigraphy;40000;150000;Ain El Guettar;9.5825;34.6597;
Ain Fritissa Unstratified Acheulean Assemblage;raw material, technology, typology;Africa;archaeological (cultural) stratigraphy, geology;0;1800000;Ain Fritissa;-3.551031;33.618288;
Ain Fritissa Unstratified Aterian Assemblage;raw material, technology, typology;Africa;archaeological (cultural) stratigraphy, geology;0;1800000;Ain Fritissa;-3.551031;33.618288;
Ain Hanech Fauna;paleofauna;Africa;large mammal biostratigraphy, magnetostratigraphy;1780000;1950000;Ain Hanech;5.6549;36.2053;
Arambourgs inventar;raw material, technology, typology;Africa;ESR (electron spin resonance) dating, large mammal biostratigraphy, magnetostratigraphy;1950000;2580000;Ain Hanech;5.6549;36.2053;
Layer A;raw material, technology, typology;Africa;large mammal biostratigraphy, magnetostratigraphy;1780000;1950000;Ain Hanech;5.6549;36.2053;
Layer B;function, raw material, technology, typology;Africa;large mammal biostratigraphy, magnetostratigraphy;1780000;1950000;Ain Hanech;5.6549;36.2053;
Layer C;raw material, technology, typology;Africa;large mammal biostratigraphy, magnetostratigraphy;1780000;1950000;Ain Hanech;5.6549;36.2053;
Ain Jourdel Fauna;paleofauna;Africa;magnetostratigraphy;2500000;2500000;Ain Jourdel;;;
Ain Mara Middle Paleolithic Layer Archaeology;raw material, technology, typology;Africa;archaeological (cultural) stratigraphy;40000;200000;Ain Mara;;;
level I lithic;raw material, technology, typology;Africa;archaeological (cultural) stratigraphy;40000;200000;Ain Oum Henda 2;9.4;34.7167;
level II lithic;raw material, technology, typology;Africa;archaeological (cultural) stratigraphy;40000;200000;Ain Oum Henda 2;9.4;34.7167;
surface collection;raw material, technology, typology;Africa;archaeological (cultural) stratigraphy;40000;150000;Ain Oum Henda 2;9.4;34.7167;
Ain al-Buhira Test H+I Layer 1 Artefacts;raw material, technology, typology;Asia;14C (radiocarbon) dating;19700;23770;Ain al-Buhira;35.921083;30.851103;
Airport Site Unit 2-5 Archaeological Assemblage;raw material, technology, typology;Africa;archaeological (cultural) stratigraphy;30000;300000;Airport site;33.89361;-9.95416;
Akhalkalaki fauna;paleofauna;Asia;large mammal biostratigraphy;780000;980000;Akhalkalaki;43.486111;41.405556;
LSA microblade assemblage;raw material, technology, typology;Africa;14C (radiocarbon) dating;10910;11230;Aladi Springs;40.9166667;9.3833333;
MSA assemblage;raw material, technology, typology;Africa;archaeological (cultural) stratigraphy;30000;300000;Aladi Springs;40.9166667;9.3833333;
Alberndorf I, AH 1;raw material, technology, typology, symbolic artifacts, organic tools;Europe;14C (radiocarbon) dating;26480;29270;Alberndorf I;16.112169;48.683372;
Plus 12m lake, section A, Layer 2;raw material, technology, typology;Africa;archaeological (cultural) stratigraphy;30000;300000;Alexandersfontein;24.770994;-28.837218;
Plus 19m lake, section A, Layer 1;raw material, technology, typology;Africa;14C (radiocarbon) dating, archaeological (cultural) stratigraphy;10915;300000;Alexandersfontein;24.770994;-28.837218;
Plus 19m lake, section B, Layer 1;raw material, technology, typology;Africa;archaeological (cultural) stratigraphy;30000;300000;Alexandersfontein;24.770994;-28.837218;
Rietheuvel Member Inventar;raw material, technology, typology;Africa;14C (radiocarbon) dating;32300;60600;Amanzi springs;25.483;-33.7;
Amud Lithics Layer B1;feature, raw material, technology, typology;Asia;ESR (electron spin resonance) dating, TL (thermoluminescence) dating;46000;61300;Amud Cave;35.5016;32.87213;
Amud Lithics Layer B2;feature, raw material, technology, typology;Asia;ESR (electron spin resonance) dating, TL (thermoluminescence) dating;52000;70000;Amud Cave;35.5016;32.87213;
Amud Lithics Layer B4;raw material, technology, typology;Asia;ESR (electron spin resonance) dating, TL (thermoluminescence) dating;59000;81000;Amud Cave;35.5016;32.87213;
Human remain 1;human remains;Asia;14C (radiocarbon) dating;16045;16135;Amur River Basin AR19K;126.15;46;
Human remain 1;human remains;Asia;14C (radiocarbon) dating;28890;29230;Amur River Basin AR33K;127.03;45.4;
Andance Unit 5 Lower Pedocomplex Archaeological Assemblage;raw material, typology, technology;Europe;geology, TL (thermoluminescence) dating;86000;191000;Andance;4.686993;44.68264;
Ang-1/a;plant remains;Asia;magnetostratigraphy;781000;1800000;Angeghakot-1;45.929016;39.573016;
Ang-2/a;plant remains;Asia;magnetostratigraphy;781000;1800000;Angeghakot-2;45.930964;39.573154;
Anghilak Cave stratum IV human remains;human remains;Asia;14C (radiocarbon) dating, stratigraphy;27000;46000;Anghilak Cave;66.6869;39.2853;
Mousterian Level 9;function, raw material, technology, typology;Europe;TL (thermoluminescence) dating, archaeological (cultural) stratigraphy, geology, geomorphology, stratigraphy;71000;116500;Angé;1.254838;47.294755;
Antu Layer 1 fauna;paleofauna;Asia;unknown;0;1000000;Antu;128.933333;43.083333;
Antu Layer 2 fauna;paleofauna;Asia;unknown;0;1000000;Antu;128.933333;43.083333;
Antu Layer 3 fauna;paleofauna;Asia;unknown;0;1000000;Antu;128.933333;43.083333;
Antu Layer 4 fauna;paleofauna;Asia;unknown;0;1000000;Antu;128.933333;43.083333;
Antu human remains;human remains;Asia;unknown;0;1000000;Antu;128.933333;43.083333;
Anui 2 Level 10;raw material, technology, typology;Asia;14C (radiocarbon) dating;26545;27705;Anui 2;84.6766;51.3972;
Anui 2 Level 11;organic tools, raw material, symbolic artifacts, technology, typology;Asia;14C (radiocarbon) dating;26520;27100;Anui 2;84.6766;51.3972;
Anui 2 Level 12;raw material, technology, typology;Asia;14C (radiocarbon) dating;26520;27100;Anui 2;84.6766;51.3972;
Anui 2 Level 6;raw material, technology, typology;Asia;14C (radiocarbon) dating;19884;22978;Anui 2;84.6766;51.3972;
Anui 2 Level 7;raw material, technology, typology;Asia;14C (radiocarbon) dating;19884;22978;Anui 2;84.6766;51.3972;
Anui 2 Level 8;raw material, technology, typology;Asia;14C (radiocarbon) dating;20060;24625;Anui 2;84.6766;51.3972;
Anui 2 Level 9;raw material, technology, typology;Asia;14C (radiocarbon) dating;26545;27705;Anui 2;84.6766;51.3972;
Anui 2 Levels 1-5;raw material, technology, typology;Asia;14C (radiocarbon) dating;20840;21720;Anui 2;84.6766;51.3972;
Anui 2 Levels 1-5;raw material, technology, typology;Asia;14C (radiocarbon) dating;20918;22086;Anui 2;84.6766;51.3972;
Anui 2 Levels 1-5;raw material, technology, typology;Asia;geology;11780;20840;Anui 2;84.6766;51.3972;
Anui 2 Levels 1-5;raw material, technology, typology;Asia;geology;22086;22978;Anui 2;84.6766;51.3972;
Anyskop CALC ESA;raw material, technology, typology;Africa;archaeological (cultural) stratigraphy, geology;300000;781000;Anyskop_Blowout;18.114;-32.971;
Anyskop CALC Fauna;paleofauna;Africa;geology;400000;781000;Anyskop_Blowout;18.114;-32.971;
Anyskop CALC MSA;raw material, technology, typology;Africa;archaeological (cultural) stratigraphy, stratigraphy;30000;191000;Anyskop_Blowout;18.114;-32.971;
Anyskop HP Inventar;raw material, technology, typology;Africa;archaeological (cultural) stratigraphy;58000;66000;Anyskop_Blowout;18.114;-32.971;
Anyskop LSA Fauna;paleofauna;Africa;archaeological (cultural) stratigraphy, geology;0;11000;Anyskop_Blowout;18.114;-32.971;
Anyskop SB Inventar;raw material, technology, typology;Africa;archaeological (cultural) stratigraphy;70000;77000;Anyskop_Blowout;18.114;-32.971;
Apollo 11 Layer E Archaeological Assemblage;raw material, typology, technology, function, symbolic artifacts, miscellaneous finds;Africa;14C (radiocarbon) dating, OSL (optically stimulated thermoluminescence) dating;12380;49500;Apollo 11;17.117286;-27.701215;
Apollo 11 Layer E Archaeological Assemblage;raw material, typology, technology, function, symbolic artifacts, miscellaneous finds;Africa;14C (radiocarbon) dating, OSL (optically stimulated thermoluminescence) dating;21300;49500;Apollo 11;17.117286;-27.701215;
Apollo 11 Layer F Archaeological Assemblage;miscellaneous finds, raw material, technology, typology;Africa;14C (radiocarbon) dating, OSL (optically stimulated thermoluminescence) dating;48000;62000;Apollo 11;17.117286;-27.701215;
Apollo 11 Layer F Archaeological Assemblage;miscellaneous finds, raw material, technology, typology;Africa;14C (radiocarbon) dating, OSL (optically stimulated thermoluminescence) dating;48000;65000;Apollo 11;17.117286;-27.701215;
Apollo 11 Layer G Archaeological Assemblage;feature, miscellaneous finds, organic tools, raw material, technology, typology;Africa;14C (radiocarbon) dating, OSL (optically stimulated thermoluminescence) dating;48000;70000;Apollo 11;17.117286;-27.701215;
Apollo 11 Layer G Archaeological Assemblage;feature, miscellaneous finds, organic tools, raw material, technology, typology;Africa;14C (radiocarbon) dating, OSL (optically stimulated thermoluminescence) dating;48000;74000;Apollo 11;17.117286;-27.701215;
Apollo 11 Layer G Archaeological Assemblage;feature, miscellaneous finds, organic tools, raw material, technology, typology;Africa;14C (radiocarbon) dating, archaeological (cultural) stratigraphy;48000;77000;Apollo 11;17.117286;-27.701215;
Apollo 11 Layer G Fauna;paleofauna;Africa;14C (radiocarbon) dating, OSL (optically stimulated thermoluminescence) dating;48000;70000;Apollo 11;17.117286;-27.701215;
Apollo 11 Layer G Fauna;paleofauna;Africa;14C (radiocarbon) dating, OSL (optically stimulated thermoluminescence) dating;48000;74000;Apollo 11;17.117286;-27.701215;
Apollo 11 Layer G Fauna;paleofauna;Africa;14C (radiocarbon) dating, archaeological (cultural) stratigraphy;48000;77000;Apollo 11;17.117286;-27.701215;
Apollo 11 Layer H Fauna;paleofauna;Africa;AAR (amino acid racemization) dating, archaeological (cultural) stratigraphy, geology;168000;188000;Apollo 11;17.117286;-27.701215;
